"","title","writer","written","rating","comment"
"40","Give back the Parthenon sculptures ","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5,"even though you see exhibits from all over the world and this museum worths a visit  being greek i will mention the parthenon sculptures and the caryatis  i really liked the clocks and watches section that travelled me back to time  my favorite also was the asian exhibits of…"
"41","Not my cup of tea","damasust","Oct 2020",1,"if you want to see the items ‘great’ britain has plundered from around the world over the past  years this is the place for you personally i would prefer to see these items in the correct setting  starting with the ‘elgin’ marbles"
"42","Breath Taking Architecture","Mike B","Oct 2020",5,"an absolutely amazing place to visit the architecture inside and out is nothing short of breath taking literally as soon as you walk in i had a friend visit from australia so i did the normal haunts around london but this was the cherry on the cake we walked round for…"
"43","Always worth a visit","Elaine N","Oct 2020",4,"we visited under covid conditions so only the ground floor was open to the public we were disppointed at not seeing the mummies only the egyptian sculptures but enjoyed seeing the greek vases without treading on peoples toes and so being able to read the notes "
"44","Amazing","Ms Blue94","Oct 2020",5,"nice place to drop when the rain take over london friendly staff and nice organization recommending to everyone"
"45","Fantastic","Belinda M","Oct 2020",5,"ive been a regular visitor to the british museum for years and am reviewing my post lockdown visit  its less crowded though the queues to the loos are long  you follow a one way route and when i went it was just the ground floor    its still an amazing experience    "
"46","Beautiful","Manuela E","Oct 2020",5,"beautiful enourmous and even during coronavirus restrictions still the best museum of london one way route with only the ground floor open to the public always free admission"
"47","Go to the Victoria and Albert museum instead loads of history and exhibition s relivate today","Theresa M","Oct 2020",2,"there was nothing british about the exhibition main stuff that we robbed of other countries and really does nt belong to this country  google maps sends you around in circles as well all the front had tacky frontier on there as well so you couldnt even get i decent picture"
"48","fantastic","martaflour","Oct 2020",5," this museum has a lot of valuable collections from many countries perhaps one of the most essential museum in the global from egypt to china from rome to japan  hours visiting is never be enough to explore all museum rooms instead we must spend even some days to get …"
"49","The history of the work under one roof","Hstevens282","Oct 2020",5,"this is one of the greatest museums the world its exhibits are all wonderful and it is well laid out it has a number of iconic exhibits including the rosetta stone which is the first thing you see and the frieze from the parthenon its collection of artifacts from ancient…"
"50","Read for advice on COVID-19 entry requirements!","Joyce","Oct 2020",4,"the museum is open but covid measures are in place all guests will have to enter through the great russell street entrance and exit through the montague place everyones bags are checked you will have to prebook a time to enter the museum  tickets are still free there…"
"51","Now is a great time to visit","Sian248","Oct 2020",5,"another fascinating visit to the great place how fortunate are we to have this museum and now is the time to visit  so few people around and all the staff so very helpful from chris the bag searcher also good at directions on departure to the check in crew for not only the…"
"52","British Museum","KNS","Oct 2020",5,"the museum is absolutely beautiful so much to see and learn and each area is broken down by different countries so you get to see treasures from all over the world social distancing guidelines very much adhered too"
"53","Worth a visit","Amanda Moo","Oct 2020",4,"on a rainy morning we went here  sore the rosetta stone  the elgin marbles all for free was definatly worth a morning visit"
"54","Fresh, airy museum, good at the social distancing","Amy R","Oct 2020",5,"fresh airy museum good at the social distancing lots on greekegyptian history spent about  hours here"
"55","Amazing","K.S.Emma","Oct 2020",5,"beautiful  experience  beautiful place with the whole world inside a unique unforgettable experience"
"56","Ground floor open only.","Clivey57","Oct 2020",4,"slightly disappointed we couldn’t visit the upper floors booked online and one way system operating here start with egypt with the elgin marbles can get a tad busy here spent a few hours visiting the ground floor with a coffee break  a bit expensiveon the ground floors…"
"57","Tantra exhibition","Robert D","Oct 2020",1,"poked nose around the door at pm hot humid and comparitively crowded given that we are all supposed to be socially distancing not safe in my view avoid or go at a quieter time "
"58","4000BC and all that","DCT","Oct 2020",5,"good to see that the british museum has reopened after the covid lockdown  you need to pre book a ticketeasy as website works smoothly take care to arrive at the allocated time then entry is smooth and easy  only the ground floor open and a signposted route to follow  it…"
"59","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"i always visit the british museum when i can i do have a problem with the things that were taken in colonial rule etc but  still think the collection is amazing and always try to go to new special exhibit my family love to go too"
"60","Peace in the British Museum","0art","Oct 2020",5,"excellent time to visit bm as so quiet only ground floor open and you follow a trail finsihing at the de waal pavilion housing books in exile bm usually so crowded so lovely to be able to enjoy it in peace and discover objects that one would usually not notice"
"61","Egyptian experience","Lina Y","Oct 2020",5,"all safety measures for covid in place limited access to the galleries which was perfectly organised egyptian and greek galleries visited which take you back in time to ancient civilisations "
"62","Well organised and seeing some treasures anew","bsandrs","Sep 2020",5,"the british museum is a true treasure trove of objects which we have visited on a number of occasions always seeing something new and concentrating on certain areas because it would be overkill to see too much in a day in london for a couple of days we booked a lockdown…"
"63","Not only for rainy days","Christa T","Sep 2020",5,"fantastic collection for adults and children alike you can go  times and you have still not seen everything  the building with his atrium is already worth a visit take a look into the old reading room very good exhibitions  well curated"
"64","Too many people little room for social distance","David","Sep 2020",1,"visited the tantra exhibition i felt extremely uncomfortable far too many people were let in we left within  minutes"
"65","Slightly strange but well organised","Jt1945","Sep 2020",4,"it was a novel experience a return in very different circumstances but the reason for this was obvious and well managed personally i would have relished greater freedom but i fully understand why this new system was nexess"
"66","Only 1 floor is open","jas7651","Sep 2020",4,"a little disappointing because only one floor is open and even then certain exhibitions were closed i am assuming this was to lack of staff andor due to current restrictions  saying that it was still a good day out with several interesting exhibits to see the staff are…"
"67","A little underwhelming and reeks of Colonialism","DBH","Sep 2020",3,"given the size and fame of this museum i was perhaps expecting a little too much but i would say there were few really eyecatching exhibits in terms of historical significance the rosetta stone is a bit of a mustsee but as with most of the treasures in here you do have…"
"68","This is a British Museum without many British artists and exhibits - all colonialism","Philipopo12","Sep 2020",4,"great colonial museum familyfriendly and gayfriendly very pricey when it comes to food and souvenirs"
"69","Not All Open","Valerie W","Sep 2020",3,"bit disappointing as only one floor open at the moment however it is still worth a visit to support our museums"
"70","Masterpiece","Gaut","Sep 2020",5,"one of the best museum i ever seen before  lots of masterpieces a very nice building and a very nice organisation inside you cannot dont go there if you travel in london only a fool can avoided the british museum if you like history please dont miss the rosetta stone…"
"71","Let’s go see the mummies ","Laterah Reitsma","Sep 2020",5,"one word  massive  very organized and clean there was oh so much to see and i fell more in love with the artifacts and the history behind this massive building would love to go again especially for the museum "
"72","Totally worth a visit. ","anthony e","Sep 2020",5,"my wife and i had been looking at museums to visit during our three days in london  i booked online which was easy and straight forward it is free but we did make a donation dont worry because there are plenty of places to make donations at the museum we showed up on time…"
"73","London must see","Kitten","Sep 2020",5,"the museum of the world  dedicated to human history art and culture its huge collection of works is among the largest and most comprehensive in existence having been widely sourced during the era of the british empire ancient culture and egyptian culture  a great place to…"
"74","Amazing Museum! ","Miss Travel Blogger","Sep 2020",5,"ufdb i absolutely love going to the british museum the entrance is free and there is so much to see i always stay for over an hour to explore and discover new things that i might have missed during my last visit uf "
"75","World class museum","CapDeathCarpet","Sep 2020",5,"always a pleasure to visit this museum having been to a lot of them over the years both abroad and in the uk this is still my favourite  this time we managed to look at the egyptian and medieval sections which we didnt get to spend much time in on the previous visit  the…"
"76","Family visit ","JoJo","Sep 2020",4,"thought it would be a good time to visit as they limit the amount of people going in it wasn’t really busy but plenty of people in there you could easily see everything without being close to people everyone is required to wear a mask and i only saw three people without…"
"77","British Museum 2.9.20","hilary d","Sep 2020",5,"another post lockdown visit to one of my favourite museumsi booked online for nd septembervery well organised on arrival with my ticket and securityhad to follow a designated route but its great to be back"
"78","Back with some limitations ","Erodotus","Sep 2020",4,"happy to be back to one of my favourite museums ever even in this postlockdown situation the main collections open are on the ground floor with the ancient egyptian and greek rooms with splendid artefacts it would be nice to be back again when more rooms are open to the…"
"79","Good to be back","Christine B","Sep 2020",5,"reduced lower ground route available well organised entry and visit staff visibly cleaning seating areas enjoyed being back to visit one of my favourite places "
"80","Enjoyable return to a favourite museum.","annafromlondon","Sep 2020",5,"it was so good to revisit a london museum which i had not visited for over a year the prebooking was easy and i was very impressed with the clearly marked route through the ancient world artefacts it was actually easier to view the latter at length no tour school groups…"
"81","British Museum","Katie S","Sep 2020",4,"so many artifacts from egypt and ancient greece the oneway system to provide social distancing is set up very well while parts of the museum are not open yet it is still worth a visit it looks like they are adding new exhibits constantly to keep you coming back"
"82","A New Perspective","Paul James H","Sep 2020",4,"  although the british museum is free to enter you still have to get a ticket as social distancing limits the visitor numbers      there is a large egyptian area of the museum taking you from the th millenium bc through the rd millenium bc  there are interesting…"
"83","Incredible Collection ","BLS_MTL","Sep 2020",5,"opened   first public museum in the world  sq ft   galleries  you could spend days exploring this “museum masterpiece” enjoy the culture"
"84","Post Lock down ","Neil Stevens","Sep 2020",5,"at last we allowed back in which brilliant blissfully spent a few hours following their excellent trail discovered features never spotted on previous visits over  years "
"85","Amazing day out","Enigmamike13","Sep 2020",5,"its do popular to the world it makes me proud to be a british citizen  the loveliest part of london to i’m a massive fan of egyptology so it was perfect  the staff security and workers on the cafe and shops are so friendly  not easy during covid  well organised "
"86","One of the best museums in the world","Julie M","Sep 2020",5,"when you visit this museum you step back thousands of years of history be prepared to expand your horizons and reconnect with past civilizations and humanitys genius"
"87","Lots to see but too crowded","sheepygold","Sep 2020",3,"we booked a slot to come on a sunday and the initial impression was that it was very quiet there is a one way route around the ground floor which is the only one open there is still a lot to see  certainly half a day at least  but once we got to where the exhibits were we…"
"88","Safe way to visit the British Museum","Lalita","Sep 2020",4,"the newly reopened british museum can be visited as long as you book in advance on line for a timed visit   the ground floor which has such things as the rosetta stone the parats more than enough for tourists on a first time visit as its massive  there is a one way system…"
"89","Not yet","travelqueenNi","Sep 2020",3,"ordinarily a great way to spend an afternoon this wasn’t worth the pre booked time and journey out there when only the ground floor galleries are open other london museums have reopened much more of their collections and i would have waited longer before going had i known …"
"90","Not all open","Roger M","Aug 2020",2,"love this place but a great deal of it it is not yet open no mummies the asias or english portions open some parts of greek ect not availablenot worth the long journey to see half the museum minus some of the best artifacts "
"91","Excellent visit.","Bumblebee23","Aug 2020",5,"the bm has always been a family favourite and this visit was no different we had to pre book entry tickets which were free of charge and easy to do on line it was fantastic to be able to spend time in uncrowded exhibit rooms especially the ancient egyptian ones the toilets…"
"92","Limited and one way system tricky","lynnmml","Aug 2020",2,"strict one way system in place little available and no choice  very different from va which had  a great deal on offer and free to wander once inside  i had an attack of sneezing and streaming nose though i have no allergies  this stopped as soon as i left  some kind of…"
"93","So much treasure to behold","Nicola H","Aug 2020",5,"wonderful museum with so much to see and so much treasure to behold my favourite area is the mummys  so glad the museum is open again"
"94","A must for anyone visiting London.","A P","Aug 2020",5,"the british museum houses an extraordinary collection of fascinating artefacts from all over the world the egyptian section is fantastic for kids and adults there is so much to see it is beautifully curated and well worth the visit i could spend days in there"
"95","Educational","Omi121","Aug 2020",4,"massive museum in central london very educational for both children  adults  transport links close by"
"96","Museum you MUST visit","Baartos","Aug 2020",5,"british museum needs no introduction certainly one of the best attractions in london and a mustsee for everyone basically one can describe the british museum as a museum of the history of mankind the expositions show artefacts from different parts of the world europe…"
"97","Bringing together cultures of the world","Ian C","Aug 2020",5,"hooray  the british museum has reopened its ground floor galleries shop and cafe  when you visit you wonder why it ever had to close given the scale of the spaces and the ease of social distancing especially with facemasks   it is much safer than going to the…"
"98","A great experience","eileeng522","Aug 2020",5,"its open lovely to visit without the usual crowds and able to wander through the collections  it meant i could see everything properly take photos without people in them and generally have a great experience of course i want the restrictions of the pandemic over with but id…"
"99","A must visit attraction","Raja Rupendra Pal of Kutlehar","Aug 2020",5,"needless to say this is a must visit attraction for anyone coming to london and the india section has some lovely pieces"
"100","DubaiFam","Dubai Fam","Aug 2020",4,"this review is about the british museum in the united kingdom in london very accessible place with tubes busses taxies private cares and uber entrance is free and its regulated by security guards where i found them doing their job well they prioritize children families…"
"101","The British Museum ","El.Bee","Aug 2020",3,"fairly enjoyable day out with young children quite congested so make sure you keep your eye on young children and personal belongings  on our visit there was a fashion show for local students which was good fun  the main exhibition my children wanted to see was the infamous…"
"102","Stolen","Jacob","Aug 2020",2,"actually most of the art and staff in there are stolen from countries around the world the history in this museum is international and not british really dissapointed when i saw whole stones and arts from other countries making the musem looking full"
"103","Free, no pressure to pay","Pete78","Aug 2020",5,"i really enjoyed coming here when i was in the central london last month it gets packed so go early"
"104","love this place","Mike Hendry","Aug 2020",4,"i love it here its always very busy which isnt the end of the world plenty to see and staff are lovely"
"105","The best museum in London","Harry","Aug 2020",5,"this museum is full of great and interesting things from sarcophagus’ of ancient egyptian times to sword from the japanese sectionthis museum is great for all agesif you haven’t been you have to go"
"106","Beautiful","Inna Clark","Aug 2020",5,"we are very happy to know that you loved this was the best experience  beautiful moments  "
"107","Love this place","Mikel N.","Aug 2020",5,"the assyrian exhibition is my favourite sometimes i just want to stay there overnight hope they keep it open at night too just like night at the museum"
"108","A perfect jewel","Tomas Catros","Aug 2020",5,"i first came here in  of course to see the egyptian collection since then i have become a member and have rarely missed any of the exhibitions my most favourite pieces are the mughal miniatures and jade turtle in what i call the basement"
"109","Beautiful Museum","Ksullivan","Aug 2020",5,"a wonderful museum to visit there was a large variety of exhibits to choose from and the staff were very helpful "
"110","Interesting ","Jennifer W","Aug 2020",4,"a family trip there were interesting areas for everyone so many artefacts and information boards to find it more about different things "
"111","Opening End August . ","Tony Nic","Aug 2020",1,"pretty poor really when most other attractions historical and otherwise have done their best to to manage curonavirus and reopen asap  this place is not reopening until the end of august like after the summer hols when the kids are about to go back to school i bet if it…"
"112","Christmas Holiday","James B","Aug 2020",5,"loved the afternoon tea was worth the visit timed entrance is required and they stick to it great selection of teas"
"113","Cool stuff","sam","Aug 2020",4,"interesting collection of a wide range of historical artefacts good security procedures friendly and helpful staff more school trips than id like but you cant have everythingunless you own this museum"
"114","Excellent exhibition and gorgeous museum","Felicity W","Aug 2020",5,"it is always a great pleasure to come here to admire the masterpieces and exhibitions   highly recommended "
"115","Brilliant place","Mark S","Aug 2020",5,"this is arguably the best museum ive ever been to and ive been many times   you will never get to see everything as its so vast so i recommend a greatest hits tour which  is offered this takes in the elgin marbles rosetta stone lewis chessmen etc    also they have…"
"116","Really nice","Dhilan K","Jul 2020",5,"a lot of stuff to do really big queue though as it was children half term   we went all round the museum and would love to go there again"
"117","Fantastic","matt y","Jul 2020",5,"it is such a wonderful place to chill and learn something new a great thing to do in london especially on a rainy day hope to see it open soon"
"118","OK visit ","Amy C","Jul 2020",4,"ok to visit and see exhibitions and explore  archives ie sketches and  the cafe was good b covid restrictions "
"119","Exploration","Maria","Jul 2020",5,"i took the students here and they happily roamed in and out of the galleries i loved when they came up to me saying they found this and that so many continents to visit under one roof i am still in awe of the statutes their  "
"120","SO much to see and learn","mauisuzy","Jul 2020",5,"a great collection of so much history dont try to do it in one visit come back as often as you can"
"121","Must see","Margaret S","Jul 2020",5,"the rosetta stone is reason enough to visit but there are literally hundreds of equally important artifacts also a strikingly beautiful interior"
"122","Full of history","Matas Las","Jul 2020",5,"the british museum is full of amazing history especially loved the things from egypt staff is really friendly"
"123","greek! status","Michalis P","Jul 2020",5,"if you are greek ou should definately visit that museum i went with my girls and we spended a few hours tehre aspecially in the room with the greek status i felt some amazing feelings in there  where the world stars "
"124","Poorly lit, lovely collection","vonar","Jul 2020",3,"we could barely see the art and pieces due to poor lighting its also much more cramped and looked a bit cheap the experience itself was a bit stressful because people around you keep touching the sculptures so theres a need for more security "
"125","Stone Lions behind the British Museum","CPaM68","Jul 2020",5,"if you visit the british museum make sure you see the stone lions guarding the north and lesserused entrance on montague place most visitors use the main entrance on great russell street and miss these great art deco lions examples of new sculpture carved by sir george…"
"126","Not for all","Mattia Malingamba","Jul 2020",2,"undoubtedly a fascinating place however i only recommend it to history lovers i personally got very bored it contains interesting finds that will surely fascinate anyone who knows about it so i do not recommend young people who are not particularly fond of history to visit…"
"127","A must see in London","Isabelle A","Jun 2020",4,"we absolutely loved the breathtaking experience of visiting the british museum    the artefacts are truly breathtaking they are huge and you genuinely are taken back to the times in which they are from  the building itself is beautiful and even if you are not an avid…"
"128","Amazing Museum","Mathias D","Jun 2020",5,"as a history lover i really enjoyed the museum theres everything from the egyptians to the greeks to the mesopotamians chinese and many more its a worldwide history tour and the rosetta stone is a mustsee even if theres always a lot of people around it would highly…"
"129","A must see!","Andrew B","Jun 2020",5,"this is an exceptional museum that i easily spent an entire day visiting the works cover multiple styles time periods and geographical area the staff is professional helpful and friendly visitors can easily go from one gallery to the next while going thru the museum and not…"
"130","Awsome!!","Mariachiara Mallardo","Jun 2020",5,"while i was on my frist holiday in london i couldn t miss a visit at the british museum it was an awesome experience  there was an excellent cofee  where i tried the victoria scones and a bookshop  greetings from italyufeeufeaufafu love uk"
"131","British design at its best!","SyedA","Jun 2020",5,"worth a visit if not just to enjoy the masterful interior design i am a graphic designer and go just to get inspiration not too crowded especially these days and the cafe inside the museum is top notch worth a check"
"132","British museum.","Martha Luana S","Jun 2020",4,"it is amazing what can be learned in this place there are many kinds of guides it is advisable to go with one it is enjoyed in a different way still this museum with free admission through tips is amazing it has a bit of every great civilization and takes you to another…"
"133","Amazing","Chinella A","Jun 2020",5,"you need to go  we did a virtual tour because of the covid situation wondered what it would be like not being there in person but it was amazing we had lou as our tour guide informative interactive interesting and hilarious guide his excitement for certain artifacts…"
"134","Great Museum, Rude Staff ","JalynCameron","Jun 2020",4,"we had such a good time at this museum the highlight was the rosetta stone but this massive museum is filled with millions of things to see you could spend weeks browsing around the entry is free or with a donation there was no line to get into the museum at pm they have a…"
"135","so much to see","ant0n1a","Jun 2020",5,"i took my brother to the british museum the line was not very long which was great we spent half a day inside there is just so much to see definitely recommend"
"136","Tour of British Museum with Dani the Guide","Susan P","Jun 2020",5,"we were  couples visiting london and had dani the guide show us around the british museum  dani danielle  was excellent  we found her friendly warm and very knowledgeable  we have even kept in touch since the trip  dani has sent us videos of other sites to see in london…"
"137","Huge and very interesting","MichelGSfeir","Jun 2020",5,"the building itself is beautiful and well worth a few pictures and the museum is huge you could easily spend a day and not see all that you want to see there are brochures near the entrance with a suggested quickrush path that will take you to only the most famous items…"
"138","Incredibly well curated museum","Irma F","Jun 2020",5,"i arrived pretty early in the morning and the line wasnt too long you do have to basically go through airport security though so thats what causes a long line the map was easy enough to read and i saw a lot of the big highlights without too much hassle theres a lot of…"
"139","Great","Karl Smith","Jun 2020",5,"there is literally something for everyone at this museum the variety and volume of engaging content has drawn comparisons of the british museum to the famous louvre in paris"
"140","One of the best experience","Ben Simpson","Jun 2020",5,"such a great experience to visit this amazing museum  definitely will come back for a round  "
"141","Wonderful Museum","Megan","Jun 2020",5,"a great place to spend an afternoon or honestly the whole day lots of interesting things to see does get rather busy but early mornings worked well for us "
"142","Extensive Collection Great Museum! ","Jaycee Sarah Koh","Jun 2020",5,"it was such a great experience to visit this museum with my son early january  and honestly we couldn’t see everything on display there as they’ve such an extensive collection   it was tiring after our visit and mind boggling over the countless section of different nation’s…"
"143","An amazing experience.","Sim121","May 2020",5,"saw some very interestingfamous exhibits would recommend going it could have more places to rest you will find yourself exhausted at the end of the day"
"144","A great place to visit","Imran Qureshi","May 2020",5,"an excellent day out with the family very educational in a clean environment very helpful staff highly recommended"
"145","Exceptionally awesome collections","KodoDrummer","May 2020",5,"i keep coming back there are always new collections to view and more to learn of the existing artifacts my favourites on this visit were the asian and egyptian exhibits"
"146","London staple for a rainy afternoon ","AnnMayTravelling","May 2020",4,"i enjoy coming back to the british museum every once in a while when in london there is so much to see and always something new to explore one of my favourite exhibitions is the egyptian exhibition and it is always very interesting so see for anyone who is interested in…"
"147","The Most Amazing Thing About The British Museum","Julian D","May 2020",3,"nothing in it is british virtually every artefact was stolen at some point in history from another country somewhere around the globe egypt greece china iran iraq india japan malawi zambia so to all those bigots and racists that say “we should send all the foreigners…"
"148","<U+062A><U+0623><U+0631><U+064A><U+062E>","ALasere","May 2020",3,"uuaudu uauu uufufu uuuauuub uu uuuduuuuua uuuuuuuu uuuaua uauuuu uuuuuua uua ucuuau uuuduu uuuuuu uuufueuu uucuuua uuauucuf uufuueuu uufuf uu uuuuuuua uuuucuuuua uuauduauuc uuauu uuuu uuua uauaucuu uua uuuu uuucuuu uuu uauucuf uufuf uu uuuuuuua uuuuuuuu uua uuuuuuu uuuuduauu uu a museum that includes a large number of…"
"149","amazing collection","sanj","May 2020",5,"when you walk in you notice the light change and this massive column holding up a really cool glass ceiling feels like a spaceship in some ways even though the outside is serious and robust a treat"
"150","Worth the trip and free","clare b","May 2020",4,"easy to spend the day taking in history from all around the world  beautiful building and a must for any trip to london"
"151","All you ever wanted to know about English History","Pedipod San Diego","May 2020",5,"the museum is an expanse of british history with multiple floors covering many acres of ground  entry is free though a donation of  pounds is requested and expected  roman occupation of england features prominently  one could spend days here studying this incredible…"
"152","Free access to unparalleled collection","Don Wright","May 2020",5,"this museum is described as the oldest museum in the world with an “unrivalled collection of antiquities” hard to argue with that it is indeed a massive museum with dozens of galleries dedicated to various countries regions and eras too much to take in during one visit…"
"153","Magnificent!","Barrett K","May 2020",5,"no better place to realise the richness of human history room after room of astounding artefacts  especially the egyptian gallery  one can only gape in complete awe"
