"title","comment","trip","writer","written","rating"
"Give back the Parthenon sculptures ","Even though you see exhibits from all over the world and this museum worths a visit . Being Greek I will mention the Parthenon Sculptures and the Caryatis . I really liked the clocks and watches section that travelled me back to time . My favorite also was the Asian exhibits of…","March 2020","<U+0391><U+039A><U+0391><U+039B><U+0391><U+039D>T<U+0399>S","Oct 2020",5
"Not my cup of tea","If you want to see the items ‘Great’ Britain has plundered from around the world over the past 2/400 years this is the place for you. Personally I would prefer to see these items in the correct setting  starting with the ‘Elgin’ Marbles.","October 2020","damasust","Oct 2020",1
"Breath Taking Architecture","An absolutely amazing place to visit, the architecture inside and out is nothing short of breath taking, literally as soon as you walk in. I had a friend visit from Australia, so I did the normal haunts around London but this was the cherry on the cake, we walked round for…","November 2019","Mike B","Oct 2020",5
"Always worth a visit","We visited under covid conditions so only the ground floor was open to the public. We were disppointed at not seeing the mummies, only the egyptian sculptures, but enjoyed seeing the greek vases without treading on peoples toes and so being able to read the notes. ","September 2020","Elaine N","Oct 2020",4
"Amazing","Nice place to drop when the rain take over London. Friendly staff and nice organization. recommending to everyone!","October 2020","Ms Blue94","Oct 2020",5
"Fantastic","I've been a regular visitor to the British Museum for years and am reviewing my post lockdown visit.  It's less crowded though the queues to the loos are long.  You follow a one way route, and when I went it was just the ground floor.    It's still an amazing experience.    ","October 2020","Belinda M","Oct 2020",5
"Beautiful","Beautiful, enourmous and even during coronavirus restrictions still the best museum of London. One way route with only the ground floor open to the public. Always free admission","October 2020","Manuela E","Oct 2020",5
"Go to the Victoria and Albert museum instead loads of history and exhibition s relivate today","There was nothing BRITISH about the exhibition main stuff that we robbed of other countries and really does nt belong to this country  Google maps sends you around in circles as well all the front had tacky frontier on there as well so you couldn't even get i decent picture","October 2020","Theresa M","Oct 2020",2
"fantastic",". This museum has a lot of valuable collections from many countries. Perhaps, one of the most essential museum in the global. From Egypt to China, from Rome to Japan. 2 hours visiting is never be enough to explore all museum rooms. Instead, we must spend even some days to get …","November 2019","martaflour","Oct 2020",5
"The history of the work under one roof","This is one of the greatest museums the world. Its exhibits are all wonderful and it is well laid out. It has a number of iconic exhibits including the Rosetta Stone which is the first thing you see, and the frieze from the Parthenon. Its collection of artifacts from Ancient…","October 2020","Hstevens282","Oct 2020",5
"Read for advice on COVID-19 entry requirements!","The museum is open, but COVID-19 measures are in place. All guests will have to enter through the Great Russell Street entrance and exit through the Montague Place. Everyone's bags are checked. You will have to prebook a time to enter the museum - tickets are still free (there…","October 2020","Joyce","Oct 2020",4
"Now is a great time to visit","Another fascinating visit to the great place. How fortunate are we to have this museum, and now is the time to visit.  So few people around and all the staff so very helpful, from Chris the bag searcher, also good at directions on departure, to the check in crew for not only the…","October 2020","Sian248","Oct 2020",5
"British Museum","The museum is absolutely beautiful. So much to see and learn and each area is broken down by different countries, so you get to see treasures from all over the world. Social distancing guidelines very much adhered too.","September 2020","KNS","Oct 2020",5
"Worth a visit","on a rainy morning we went here & sore the Rosetta Stone & the Elgin marbles all for free. Was definatly worth a morning visit","October 2020","Amanda Moo","Oct 2020",4
"Fresh, airy museum, good at the social distancing","Fresh, airy museum, good at the social distancing, lots on Greek/Egyptian history. Spent about 2.5 hours here.","October 2020","Amy R","Oct 2020",5
"Amazing","Beautiful  experience,  beautiful place, with the whole world inside, a unique, unforgettable experience.","December 2019","K.S.Emma","Oct 2020",5
"Ground floor open only.","Slightly disappointed we couldn’t visit the upper floors. Booked online, and one way system operating here, start with Egypt with the Elgin marbles can get a tad busy here, spent a few hours visiting the ground floor with a coffee break £3.40 a bit expensive,on the ground floors…","October 2020","Clivey57","Oct 2020",4
"Tantra exhibition","Poked nose around the door at 230pm. Hot humid and comparitively crowded given that we are all supposed to be socially distancing. Not safe in my view. Avoid or go at a quieter time. ","October 2020","Robert D","Oct 2020",1
"4000BC and all that","Good to see that the British Museum has reopened after the Covid19 lockdown.  You need to pre book a ticket-easy as website works smoothly Take care to arrive at the allocated time- then entry is smooth and easy.  Only the ground floor open and a signposted route to follow.  It…","September 2020","DCT","Oct 2020",5
"Sure problems with who owns artefacts but the collection is amazing","i always visit the British Museum when i can. i do have a problem with the things that were taken in colonial rule etc. but  still think the collection is amazing, and always try to go to new special exhibit. my family love to go too","February 2020","Cinio","Oct 2020",5
"Peace in the British Museum","Excellent time to visit BM as so quiet. Only ground floor open and you follow a trail finsihing at the de Waal pavilion housing books in exile. BM usually so crowded so lovely to be able to enjoy it in peace and discover objects that one would usually not notice.","September 2020","0art","Oct 2020",5
"Egyptian experience","All safety measures for Covid in place. Limited access to the galleries which was perfectly organised. Egyptian and Greek galleries visited which take you back in time to ancient civilisations. ","September 2020","Lina Y","Oct 2020",5
"Well organised and seeing some treasures anew","The British Museum is a true Treasure Trove of objects which we have visited on a number of occasions, always seeing something new, and concentrating on certain areas because it would be overkill to see too much in a day. In London for a couple of days, we booked a lockdown…","September 2020","bsandrs","Sep 2020",5
"Not only for rainy days","Fantastic collection for adults and children alike. you can go 100 times and you have still not seen everything.  The building with his atrium is already worth a visit. Take a look into the old reading room. Very good exhibitions - well curated!","February 2020","Christa T","Sep 2020",5
"Too many people little room for social distance","Visited the Tantra exhibition. I felt extremely uncomfortable. Far too many people were let in. We left within 10 minutes","September 2020","David","Sep 2020",1
"Slightly strange but well organised","It was a novel experience a return in very different circumstances but the reason for this was obvious and well managed. Personally I would have relished greater freedom but I fully understand why this new system was nexess","September 2020","Jt1945","Sep 2020",4
"Only 1 floor is open","a little disappointing because only one floor is open and even then certain exhibitions were closed. I am assuming this was to lack of staff and/or due to current restrictions.  Saying that it was still a good day out, with several interesting exhibits to see. The staff are…","September 2020","jas7651","Sep 2020",4
"A little underwhelming and reeks of Colonialism","Given the size and fame of this museum, I was perhaps expecting a little too much, but I would say there were few really eye-catching exhibits. In terms of historical significance, the Rosetta Stone is a bit of a must-see, but as with most of the 'treasures' in here, you do have…","October 2019","DBH","Sep 2020",3
"This is a British Museum without many British artists and exhibits - all colonialism","Great colonial museum. Family-friendly and gay-friendly. Very pricey when it comes to food and souvenirs.","July 2020","Philipopo12","Sep 2020",4
"Not All Open","Bit disappointing as only one floor open at the moment. However, it is still worth a visit to support our museums.","September 2020","Valerie W","Sep 2020",3
"Masterpiece","One of the best museum I ever seen before : lots of masterpieces, a very nice building and a very nice organisation inside. You cannot don't go there if you travel in London. Only a fool can avoided the British Museum. If you like history please don't miss the Rosetta Stone.…","March 2020","Gaut","Sep 2020",5
"Let’s go see the mummies ","One word  Massive!  Very organized and clean. There was oh so much to see and I fell more in love with the artifacts and the history behind this massive building. Would love to go again especially for the museum. ","October 2019","Laterah Reitsma","Sep 2020",5
"Totally worth a visit. ","My wife and I had been looking at. Museums to visit during our three days in London.  I booked online which was easy and straight forward, it is free but we did make a donation. Don't worry because there are plenty of places to make donations at the museum. We showed up on time…","September 2020","anthony e","Sep 2020",5
"London must see","The museum of the world  dedicated to human history, art and culture. Its huge collection of works is among the largest and most comprehensive in existence, having been widely sourced during the era of the British Empire, ancient culture and Egyptian culture.  A great place to…","March 2020","Kitten","Sep 2020",5
"Amazing Museum! ","<U+0001F3DB> I absolutely love going to the British Museum! The entrance is free and there is so much to see! I always stay for over an hour, to explore and discover new things, that I might have missed during my last visit <U+0001F648> ","September 2020","Miss Travel Blogger","Sep 2020",5
"World class museum","Always a pleasure to visit this museum, having been to a lot of them over the years both abroad and in the UK this is still my favourite.  This time we managed to look at the Egyptian and Medieval sections which we didn't get to spend much time in on the previous visit.  The…","January 2020","CapDeathCarpet","Sep 2020",5
"Family visit ","Thought it would be a good time to visit as they limit the amount of people going in. It wasn’t really busy but plenty of people in there. You could easily see everything without being close to people. Everyone is required to wear a mask and I only saw three people without.…","September 2020","JoJo","Sep 2020",4
"British Museum 2.9.20","Another post lockdown visit to one of my favourite museums!i booked online for 2nd september.very well organised on arrival with my ticket and security.had to follow a designated route but its great to be back!","September 2020","hilary d","Sep 2020",5
"Back with some limitations ","Happy to be back to one of my favourite museums ever, even in this post-lockdown situation. The main collections open are on the ground floor with the Ancient Egyptian and Greek rooms with splendid artefacts. It would be nice to be back again when more rooms are open to the…","September 2020","Erodotus","Sep 2020",4
"Good to be back","Reduced lower ground route available. Well organised entry and visit. Staff visibly cleaning seating areas. Enjoyed being back to visit one of my favourite places. ","September 2020","Christine B","Sep 2020",5
"Enjoyable return to a favourite museum.","It was so good to revisit a London museum which I had not visited for over a year. The pre-booking was easy, and I was very impressed with the clearly marked route through the Ancient World artefacts. It was actually easier to view the latter at length- no tour /school groups…","September 2020","annafromlondon","Sep 2020",5
"British Museum","So many artifacts from Egypt and Ancient Greece! The one-way system to provide social distancing is set up very well. While parts of the museum are not open yet, it is still worth a visit. It looks like they are adding new exhibits constantly to keep you coming back.","September 2020","Katie S","Sep 2020",4
"A New Perspective","  Although the British Museum is free to enter, you still have to get a ticket; as social distancing limits the visitor numbers.      There is a large Egyptian area of the museum, taking you from the 4th millenium Bc, through the 3rd millenium Bc.  There are interesting…","September 2020","Paul James H","Sep 2020",4
"Incredible Collection ","Opened 1753 - first public museum in the world 807,000 sq ft - 94 galleries.  You could spend days exploring this “Museum Masterpiece”, Enjoy the Culture","October 2019","BLS_MTL","Sep 2020",5
"Post Lock down ","At last we allowed back in which brilliant, blissfully spent a few hours following their excellent trail. Discovered features never spotted on previous visits over 60 years. ","September 2020","Neil Stevens","Sep 2020",5
"Amazing day out","It's do popular to the world it makes me proud to be a British citizen . The loveliest part of London to. I’m a massive fan of Egyptology so it was perfect . The staff, security and workers on the cafe and shops are so friendly . Not easy during Covid 19. Well organised ","September 2020","Enigmamike13","Sep 2020",5
"One of the best museums in the world","When you visit this museum, you step back thousands of years of history. Be prepared to expand your horizons and reconnect with past civilizations and humanity's genius.","January 2020","Julie M","Sep 2020",5
"Lots to see but too crowded","We booked a slot to come on a Sunday and the initial impression was that it was very quiet. There is a one way route around the ground floor which is the only one open. There is still a lot to see - certainly half a day at least - but once we got to where the exhibits were we…","September 2020","sheepygold","Sep 2020",3
"Safe way to visit the British Museum","The newly re-opened British Museum can be visited as long as you book in advance on line for a timed visit.   The ground floor which has such things as the Rosetta stone, the Parat's more than enough for tourists on a first time visit as it's massive.  There is a one way system…","September 2020","Lalita","Sep 2020",4
"Not yet","Ordinarily a great way to spend an afternoon, this wasn’t worth the pre- booked time and journey out there when only the ground floor galleries are open. Other London museums have reopened much more of their collections, and I would have waited longer before going had I known. …","September 2020","travelqueenNi","Sep 2020",3
"Not all open","Love this place but a great deal of it it is not yet open. No mummies, the asias or english portions open, some parts of greek ect not available.not worth the long journey to see half the museum minus some of the best artifacts ","August 2020","Roger M","Aug 2020",2
"Excellent visit.","The BM has always been a family favourite and this visit was no different. We had to pre book entry tickets which were free of charge and easy to do on line. It was fantastic to be able to spend time in uncrowded exhibit rooms, especially the Ancient Egyptian ones. The toilets…","August 2020","Bumblebee23","Aug 2020",5
"Limited and one way system tricky","Strict one way system in place, little available and no choice,  Very different from V+A which had  a great deal on offer and free to wander once inside.  I had an attack of sneezing and streaming nose though I have no allergies - this stopped as soon as I left - some kind of…","August 2020","lynnmml","Aug 2020",2
"So much treasure to behold","Wonderful museum with so much to see and so much treasure to behold. My favourite area is the mummys.  So glad the museum is open again.","August 2020","Nicola H","Aug 2020",5
"A must for anyone visiting London.","The British museum houses an extraordinary collection of fascinating artefacts from all over the world. The Egyptian section is fantastic for kids (and adults) there is so much to see. It is beautifully curated and well worth the visit. I could spend days in there.","September 2019","A P","Aug 2020",5
"Educational","Massive museum in Central London. Very educational for both children & adults.  Transport links close by.","November 2019","Omi121","Aug 2020",4
"Museum you MUST visit","British Museum needs no introduction. Certainly one of the best attractions in London and a must-see for everyone. Basically, one can describe the British Museum as a museum of the history of mankind. The expositions show artefacts from different parts of the world (Europe,…","September 2019","Baartos","Aug 2020",5
"Bringing together cultures of the world","Hooray - the British Museum has re-opened its ground floor galleries, shop and cafe.  When you visit, you wonder why it ever had to close given the scale of the spaces and the ease of social distancing, especially with face-masks.   It is much safer than going to the…","August 2020","Ian C","Aug 2020",5
"A great experience","Its Open! Lovely to visit without the usual crowds and able to wander through the collections . It meant I could see everything properly, take photos without people in them and generally have a great experience. Of course I want the restrictions of the pandemic over with but I'd…","August 2020","eileeng522","Aug 2020",5
"A must visit attraction","Needless to say this is a must visit attraction for anyone coming to London and the India section has some lovely pieces.","October 2019","Raja Rupendra Pal of Kutlehar","Aug 2020",5
"DubaiFam","This review is about The British Museum in the United Kingdom in London. Very accessible place with Tubes, busses, Taxies, private cares and Uber. Entrance is free and its regulated by security guards where I found them doing their job well. they prioritize children, families…","December 2019","Dubai Fam","Aug 2020",4
"The British Museum ","Fairly enjoyable day out with young children, quite congested so make sure you keep your eye on young children and personal belongings.  On our visit, there was a fashion show for local students which was good fun.  The main exhibition my children wanted to see was the infamous…","September 2019","El.Bee","Aug 2020",3
"Stolen","Actually most of the art and staff in there are stolen from countries around the world. The history in this museum is International and not British. Really dissapointed when i saw whole stones and arts from other countries making the Musem looking full.","October 2019","Jacob","Aug 2020",2
"Free, no pressure to pay","I Really enjoyed coming here when I was in the central London last month.. It gets packed so go early!!","July 2020","Pete78","Aug 2020",5
"love this place","I love it here, its always very busy which isn't the end of the world. Plenty to see and staff are lovely,","October 2019","Mike Hendry","Aug 2020",4
"The best museum in London","This museum is full of great and interesting things from sarcophagus’ of Ancient Egyptian times to sword from the Japanese section.This museum is great for all ages.If you haven’t been you have to go.","February 2020","Harry","Aug 2020",5
"Beautiful","We are very happy to know that you loved. This was the best experience.  beautiful moments  :-).......","August 2020","Inna Clark","Aug 2020",5
"Love this place","The Assyrian Exhibition is my favourite, sometimes I just want to stay there overnight. Hope they keep it open at night too! Just like Night at the museum","May 2020","Mikel N.","Aug 2020",5
"A perfect jewel","I first came here in 2007, of course to see the egyptian collection, since then i have become a member and have rarely missed any of the exhibitions. My most favourite pieces are the mughal miniatures and jade turtle in what i call the basement!","December 2019","Tomas Catros","Aug 2020",5
"Beautiful Museum","A wonderful museum to visit! There was a large variety of exhibits to choose from and the staff were very helpful. ","November 2019","Ksullivan","Aug 2020",5
"Interesting ","A family trip, there were interesting areas for everyone so many artefacts and information boards to find it more about different things ","September 2019","Jennifer W","Aug 2020",4
"Opening End August . ","Pretty poor really when most other attractions, historical and otherwise, have done their best to to manage Curonavirus and reopen ASAP .. this place is not re-opening until the end of August, like after the summer Hols when the kids are about to go back to school. I bet if it…","August 2020","Tony Nic","Aug 2020",1
"Christmas Holiday","Loved the afternoon tea. Was worth the visit. Timed entrance is required and they stick to it. Great selection of teas","December 2019","James B","Aug 2020",5
"Cool stuff","Interesting collection of a wide range of historical artefacts. Good security procedures. Friendly and helpful staff. More school trips than I'd like, but you can't have everything(unless you own this museum)","November 2019","sam","Aug 2020",4
"Excellent exhibition and gorgeous museum","It is always a great pleasure to come here to admire the masterpieces and exhibitions.   Highly recommended !","September 2019","Felicity W","Aug 2020",5
"Brilliant place","This is arguably the best museum I've ever been to and I've been many times.   You will never get to see everything as it's so vast so I recommend a 'greatest hits tour' which  is offered, this takes in the Elgin Marbles, Rosetta Stone, Lewis Chessmen etc.    Also they have…","March 2020","Mark S","Aug 2020",5
"Really nice","A lot of stuff to do. Really big queue though as it was children half term.   WE went all round the museum and would love to go there again.","March 2020","Dhilan K","Jul 2020",5
"Fantastic","It is such a wonderful place to chill and learn something new! A great thing to do in London especially on a rainy day! Hope to see it open soon!","February 2020","matt y","Jul 2020",5
"OK visit ","OK to visit and see exhibitions and explore  archives ie sketches and  the cafe was good b4 covid-19 restrictions ","November 2019","Amy C","Jul 2020",4
"Exploration","I took the students here and they happily roamed in and out of the galleries. I loved when they came up to me saying they found this and that. So many continents to visit under one roof. I am still in awe of the statutes their.  ","July 2020","Maria","Jul 2020",5
"SO much to see and learn","A great collection of so much history. Don't try to do it in one visit. Come back as often as you can.","March 2020","mauisuzy","Jul 2020",5
"Must see","The Rosetta Stone is reason enough to visit, but there are literally hundreds of equally important artifacts. Also a strikingly beautiful interior.","July 2020","Margaret S","Jul 2020",5
"Full of history","The British Museum is full of amazing history. Especially loved the things from Egypt. Staff is really friendly.","February 2020","Matas Las","Jul 2020",5
"greek! status","If you are Greek ou should definately visit that museum! i went with my girls and we spended a few hours tehre aspecially in the room with the greek status! i felt some amazing feelings in there ! where the world stars !","November 2019","Michalis P","Jul 2020",5
"Poorly lit, lovely collection","We could barely see the art and pieces due to poor lighting. It's also much more cramped and looked a bit cheap. The experience itself was a bit stressful because people around you keep touching the sculptures so there's a need for more security! ","November 2019","vonar","Jul 2020",3
"Stone Lions behind the British Museum","If you visit the British Museum make sure you see the stone lions guarding the north and lesser-used entrance on Montague Place. Most visitors use the main entrance on Great Russell Street and miss these great Art Deco Lions (examples of New Sculpture) carved by Sir George…","August 2019","CPaM68","Jul 2020",5
"Not for all","Undoubtedly a fascinating place. However, I only recommend it to history lovers, I personally got very bored. It contains interesting finds that will surely fascinate anyone who knows about it. So I do not recommend young people who are not particularly fond of history to visit…","August 2019","Mattia Malingamba","Jul 2020",2
"A must see in London","We absolutely loved the breathtaking experience of visiting the British Museum.    The artefacts are truly breathtaking, they are huge, and you genuinely are taken back to the times in which they are from.  The building itself is beautiful and even if you are not an avid…","September 2019","Isabelle A","Jun 2020",4
"Amazing Museum","As a history lover, I really enjoyed the museum. There's everything from the Egyptians, to the Greeks, to the Mesopotamians, Chinese and many more. It's a worldwide history tour. And the Rosetta Stone is a must-see even if there's always a lot of people around it. Would highly…","March 2020","Mathias D","Jun 2020",5
"A must see!","This is an exceptional museum that I easily spent an entire day visiting. The works cover multiple styles, time periods and geographical area. The staff is professional, helpful and friendly. Visitors can easily go from one gallery to the next while going thru the museum and not…","March 2020","Andrew B","Jun 2020",5
"Awsome!!","While i was on my frist holiday in london i couldn 't miss a visit at the british museum! It was an awesome experience , there was an excellent cofee  where i tried the victoria scones and a bookshop ! Greetings from italy!<U+0001F1EE><U+0001F1EA><U+0001F4AF><U+2764> love u.k.","July 2019","Mariachiara Mallardo","Jun 2020",5
"British design at its best!","Worth a visit if not just to enjoy the masterful interior design! I am a graphic designer and go just to get inspiration. Not too crowded (Especially these days) and the cafe inside the museum is top notch. Worth a check!","November 2019","SyedA","Jun 2020",5
"British museum.","It is amazing what can be learned in this place. There are many kinds of guides, it is advisable to go with one, it is enjoyed in a different way. Still this museum with free admission (through tips) is amazing, it has a bit of every great civilization and takes you to another…","November 2019","Martha Luana S","Jun 2020",4
"Amazing","YOU NEED TO GO!!  We did a virtual tour because of the covid19 situation! Wondered what it would be like not being there in person but it was amazing! We had Lou as our tour guide! informative, interactive, interesting and hilarious guide. His excitement for certain artifacts…","June 2020","Chinella A","Jun 2020",5
"Great Museum, Rude Staff ","We had such a good time at this Museum. The highlight was the Rosetta Stone but this massive museum is filled with millions of things to see. You could spend weeks browsing around. The entry is free or with a donation. There was no line to get into the museum at 4pm. They have a…","October 2019","JalynCameron","Jun 2020",4
"so much to see","I took my brother to the british museum. The line was not very long, which was great. We spent half a day inside, there is just so much to see! Definitely recommend!","July 2019","ant0n1a","Jun 2020",5
"Tour of British Museum with Dani the Guide","We were 2 couples visiting London and had Dani the Guide show us around the British Museum.  Dani (Danielle)  was excellent.  We found her friendly, warm and very knowledgeable.  We have even kept in touch since the trip - Dani has sent us videos of other sites to see in London…","July 2019","Susan P","Jun 2020",5
"Huge and very interesting","The building itself is beautiful and well worth a few pictures, and the museum is *huge*! You could easily spend a day and not see all that you want to see. There are brochures near the entrance with a suggested quick/rush path that will take you to only the most famous items…","February 2020","MichelGSfeir","Jun 2020",5
"Incredibly well curated museum","I arrived pretty early in the morning and the line wasn't too long (you do have to basically go through airport security though so that's what causes a long line). The map was easy enough to read and I saw a lot of the big highlights without too much hassle. There's a lot of…","December 2019","Irma F","Jun 2020",5
"Great","There is literally something for everyone at this museum. The variety and volume of engaging content has drawn comparisons of the British Museum to the famous Louvre in Paris.","January 2020","Karl Smith","Jun 2020",5
"One of the best experience","Such a great experience to visit this amazing museum . Definitely will come back for a round 2 .....","January 2020","Ben Simpson","Jun 2020",5
"Wonderful Museum","A great place to spend an afternoon or honestly, the whole day! Lots of interesting things to see. Does get rather busy but early mornings worked well for us. ","July 2019","Megan","Jun 2020",5
