"","title","writer","written","rating","word","sentiment_bayes"
"66","Make sure you donate!","Ipek","Dec 2020",5,"clean","unknown"
"67","Make sure you donate!","Ipek","Dec 2020",5,"limited","unknown"
"68","Make sure you donate!","Ipek","Dec 2020",5,"waiting","unknown"
"69","Make sure you donate!","Ipek","Dec 2020",5,"time","unknown"
"70","Make sure you donate!","Ipek","Dec 2020",5,"excellent","unknown"
"71","Make sure you donate!","Ipek","Dec 2020",5,"cafes","unknown"
"72","Make sure you donate!","Ipek","Dec 2020",5,"fantastic","surprise"
"73","Make sure you donate!","Ipek","Dec 2020",5,"learn","unknown"
"74","Make sure you donate!","Ipek","Dec 2020",5,"ancient","unknown"
"75","Make sure you donate!","Ipek","Dec 2020",5,"civilisations","unknown"
"76","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"walk","joy"
"77","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"building","unknown"
"78","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"entering","unknown"
"79","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"grand","unknown"
"80","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"hall","unknown"
"81","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"pretty","unknown"
"82","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"special","unknown"
"83","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"kids","unknown"
"84","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"couldn’t","unknown"
"85","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"reached","unknown"
"86","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"limited","unknown"
"87","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"super","unknown"
"88","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"excited","unknown"
"89","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"stuff","unknown"
"90","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"te","unknown"
"91","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"kong","unknown"
"92","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"love","joy"
"93","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"history","unknown"
"94","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"spend","unknown"
"95","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"days","unknown"
"96","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"wandering","unknown"
"97","Epic Museum with something for everyone","Anthony G","Dec 2020",5,"intrigue","unknown"
"98","Very Very Good","Borisandhis60kids","Dec 2020",5,"museum","unknown"
"99","Very Very Good","Borisandhis60kids","Dec 2020",5,"week","unknown"
"100","Very Very Good","Borisandhis60kids","Dec 2020",5,"wasn’t","unknown"
"101","Very Very Good","Borisandhis60kids","Dec 2020",5,"disappointed","unknown"
"102","Very Very Good","Borisandhis60kids","Dec 2020",5,"artic","unknown"
"103","Very Very Good","Borisandhis60kids","Dec 2020",5,"exhibition","unknown"
"104","Very Very Good","Borisandhis60kids","Dec 2020",5,"learnt","unknown"
"105","Very Very Good","Borisandhis60kids","Dec 2020",5,"lot","unknown"
"106","Very Very Good","Borisandhis60kids","Dec 2020",5,"fascinating","joy"
"107","Very Very Good","Borisandhis60kids","Dec 2020",5,"stuff","unknown"
"108","Very Very Good","Borisandhis60kids","Dec 2020",5,"inuits","unknown"
"109","Very Very Good","Borisandhis60kids","Dec 2020",5,"lived","unknown"
"110","Very Very Good","Borisandhis60kids","Dec 2020",5,"inuits","unknown"
"111","Very Very Good","Borisandhis60kids","Dec 2020",5,"fabulous","unknown"
"112","Very Very Good","Borisandhis60kids","Dec 2020",5,"ivory","unknown"
"113","Very Very Good","Borisandhis60kids","Dec 2020",5,"sculptures","unknown"
"114","Very Very Good","Borisandhis60kids","Dec 2020",5,"rosetta","unknown"
"115","British Museum 15.12.20","hilary d","Dec 2020",4,"decided","unknown"
"116","British Museum 15.12.20","hilary d","Dec 2020",4,"book","unknown"
"117","British Museum 15.12.20","hilary d","Dec 2020",4,"visit","unknown"
"118","British Museum 15.12.20","hilary d","Dec 2020",4,"tier","unknown"
"119","British Museum 15.12.20","hilary d","Dec 2020",4,"threewho","unknown"
"120","British Museum 15.12.20","hilary d","Dec 2020",4,"endthis","unknown"
"121","British Museum 15.12.20","hilary d","Dec 2020",4,"visitlast","unknown"
"122","British Museum 15.12.20","hilary d","Dec 2020",4,"septemberfollowed","unknown"
"123","British Museum 15.12.20","hilary d","Dec 2020",4,"system","unknown"
"124","British Museum 15.12.20","hilary d","Dec 2020",4,"half","unknown"
"125","British Museum 15.12.20","hilary d","Dec 2020",4,"hoursi","unknown"
"126","British Museum 15.12.20","hilary d","Dec 2020",4,"prefer","joy"
"127","British Museum 15.12.20","hilary d","Dec 2020",4,"system","unknown"
"128","British Museum 15.12.20","hilary d","Dec 2020",4,"vand","unknown"
"129","British Museum 15.12.20","hilary d","Dec 2020",4,"awhere","unknown"
"130","Arctic","sheepygold","Dec 2020",5,"exhibition","unknown"
"131","Arctic","sheepygold","Dec 2020",5,"viewer","unknown"
"132","Arctic","sheepygold","Dec 2020",5,"depth","unknown"
"133","Arctic","sheepygold","Dec 2020",5,"lifestyle","unknown"
"134","Arctic","sheepygold","Dec 2020",5,"art","unknown"
"135","Arctic","sheepygold","Dec 2020",5,"history","unknown"
"136","Arctic","sheepygold","Dec 2020",5,"culture","unknown"
"137","Arctic","sheepygold","Dec 2020",5,"living","unknown"
"138","Arctic","sheepygold","Dec 2020",5,"arctic","unknown"
"139","Arctic","sheepygold","Dec 2020",5,"circle","unknown"
"140","Arctic","sheepygold","Dec 2020",5,"recommend","unknown"
"141","Easy access.....! ","Stanimirko","Dec 2020",5,"clean","unknown"
"142","Easy access.....! ","Stanimirko","Dec 2020",5,"quiet","unknown"
"143","Easy access.....! ","Stanimirko","Dec 2020",5,"time","unknown"
"144","Easy access.....! ","Stanimirko","Dec 2020",5,"museum","unknown"
"145","Easy access.....! ","Stanimirko","Dec 2020",5,"visit","unknown"
"146","Easy access.....! ","Stanimirko","Dec 2020",5,"crowd","unknown"
"147","Easy access.....! ","Stanimirko","Dec 2020",5,"atmosphere","unknown"
"148","Easy access.....! ","Stanimirko","Dec 2020",5,"perfect","unknown"
"149","Easy access.....! ","Stanimirko","Dec 2020",5,"ufc","unknown"
"150","Long visit ","Amy C","Dec 2020",3,"family","unknown"
"151","Long visit ","Amy C","Dec 2020",3,"paintings","unknown"
"152","Long visit ","Amy C","Dec 2020",3,"sadly","sadness"
"153","Long visit ","Amy C","Dec 2020",3,"passed","unknown"
"154","Long visit ","Amy C","Dec 2020",3,"art","unknown"
"155","Long visit ","Amy C","Dec 2020",3,"lives","unknown"
"156","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"enjoyable","unknown"
"157","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"visit","unknown"
"158","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"plenty","unknown"
"159","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"range","unknown"
"160","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"exhibits","unknown"
"161","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"manged","unknown"
"162","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"route","unknown"
"163","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"means","unknown"
"164","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"view","unknown"
"165","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"plenty","unknown"
"166","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"staff","unknown"
"167","Enjoyable Visit, well managed.","Emily","Dec 2020",5,"hand","unknown"
"168","Best museum in London","Rik K","Dec 2020",5,"museums","unknown"
"169","Best museum in London","Rik K","Dec 2020",5,"london","unknown"
"170","Best museum in London","Rik K","Dec 2020",5,"wide","unknown"
"171","Best museum in London","Rik K","Dec 2020",5,"range","unknown"
"172","Best museum in London","Rik K","Dec 2020",5,"displays","unknown"
"173","Best museum in London","Rik K","Dec 2020",5,"covering","unknown"
"174","Best museum in London","Rik K","Dec 2020",5,"periods","unknown"
"175","Best museum in London","Rik K","Dec 2020",5,"history","unknown"
"176","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"ground","unknown"
"177","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"floor","unknown"
"178","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"museum","unknown"
"179","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"bewildering","unknown"
"180","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"contents","unknown"
"181","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"museum","unknown"
"182","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"british","unknown"
"183","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"treasure","unknown"
"184","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"visit","unknown"
"185","Our day at the British Museum","Frank/Francis Farmer","Dec 2020",4,"learn","unknown"
"186","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"british","unknown"
"187","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"museum","unknown"
"188","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"book","unknown"
"189","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"cover","unknown"
"190","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"essentials","unknown"
"191","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"britain’s","unknown"
"192","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"venerated","unknown"
"193","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"museum","unknown"
"194","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"treasures","unknown"
"195","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"world","unknown"
"196","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"colonial","unknown"
"197","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"period","unknown"
"198","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"british","unknown"
"199","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"explorers","unknown"
"200","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"agents","unknown"
"201","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"found","unknown"
"202","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"examples","unknown"
"203","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"world","unknown"
"204","See the ancient worlds in one day  -  or more","John","Nov 2020",5,"brought","unknown"
"205","great day out","Ameillia Cameron-clarke","Nov 2020",5,"day","unknown"
"206","great day out","Ameillia Cameron-clarke","Nov 2020",5,"family","unknown"
"207","great day out","Ameillia Cameron-clarke","Nov 2020",5,"educational","unknown"
"208","great day out","Ameillia Cameron-clarke","Nov 2020",5,"sight","unknown"
"209","Historical journey","Cristian Barbu","Nov 2020",5,"museum","unknown"
"210","Historical journey","Cristian Barbu","Nov 2020",5,"offers","unknown"
"211","Historical journey","Cristian Barbu","Nov 2020",5,"travel","unknown"
"212","Historical journey","Cristian Barbu","Nov 2020",5,"ancient","unknown"
"213","Historical journey","Cristian Barbu","Nov 2020",5,"egypt","unknown"
"214","Historical journey","Cristian Barbu","Nov 2020",5,"frontlines","unknown"
"215","Historical journey","Cristian Barbu","Nov 2020",5,"world","unknown"
"216","Historical journey","Cristian Barbu","Nov 2020",5,"war","anger"
"217","Historical journey","Cristian Barbu","Nov 2020",5,"history","unknown"
"218","Historical journey","Cristian Barbu","Nov 2020",5,"museums","unknown"
"219","Historical journey","Cristian Barbu","Nov 2020",5,"ive","unknown"
"220","Historical journey","Cristian Barbu","Nov 2020",5,"complex","unknown"
"221","Parthenon murbles","Fhftg","Nov 2020",1,"parthenon","unknown"
"222","Parthenon murbles","Fhftg","Nov 2020",1,"marbles","unknown"
"223","Parthenon murbles","Fhftg","Nov 2020",1,"dont","unknown"
"224","Parthenon murbles","Fhftg","Nov 2020",1,"belong","joy"
"225","Parthenon murbles","Fhftg","Nov 2020",1,"unfortunate","unknown"
"226","Parthenon murbles","Fhftg","Nov 2020",1,"museum","unknown"
"227","Parthenon murbles","Fhftg","Nov 2020",1,"returned","unknown"
"228","Parthenon murbles","Fhftg","Nov 2020",1,"buildings","unknown"
"229","Parthenon murbles","Fhftg","Nov 2020",1,"ancient","unknown"
"230","Parthenon murbles","Fhftg","Nov 2020",1,"times","unknown"
"231","Parthenon murbles","Fhftg","Nov 2020",1,"greece","unknown"
"232","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"booked","unknown"
"233","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"tickets","unknown"
"234","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"line","unknown"
"235","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"time","unknown"
"236","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"straight","unknown"
"237","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"safe","unknown"
"238","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"amazing","surprise"
"239","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"antiquities","unknown"
"240","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"setting","unknown"
"241","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"compact","unknown"
"242","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"closed","unknown"
"243","Excellent despite challenging circumstances ","MJH1","Nov 2020",5,"highlights","unknown"
"244","Make the effort to visit now","Chris W","Nov 2020",4,"ancient","unknown"
"245","Make the effort to visit now","Chris W","Nov 2020",4,"greek","unknown"
"246","Make the effort to visit now","Chris W","Nov 2020",4,"section","unknown"
"247","Make the effort to visit now","Chris W","Nov 2020",4,"booked","unknown"
"248","Make the effort to visit now","Chris W","Nov 2020",4,"slot","unknown"
"249","Make the effort to visit now","Chris W","Nov 2020",4,"spent","unknown"
"250","Make the effort to visit now","Chris W","Nov 2020",4,"minutes","unknown"
"251","Make the effort to visit now","Chris W","Nov 2020",4,"excellent","unknown"
"252","Make the effort to visit now","Chris W","Nov 2020",4,"lot","unknown"
"253","Make the effort to visit now","Chris W","Nov 2020",4,"people","unknown"
"254","Make the effort to visit now","Chris W","Nov 2020",4,"exhibits","unknown"
"255","Make the effort to visit now","Chris W","Nov 2020",4,"time","unknown"
"256","Make the effort to visit now","Chris W","Nov 2020",4,"space","unknown"
"257","Make the effort to visit now","Chris W","Nov 2020",4,"visit","unknown"
"258","Make the effort to visit now","Chris W","Nov 2020",4,"experience","unknown"
"259","Great day out in London at the BM","Amy P","Nov 2020",4,"valuable","unknown"
"260","Great day out in London at the BM","Amy P","Nov 2020",4,"collection","unknown"
"261","Great day out in London at the BM","Amy P","Nov 2020",4,"fascinating","joy"
"262","Great day out in London at the BM","Amy P","Nov 2020",4,"pieces","unknown"
"263","Great day out in London at the BM","Amy P","Nov 2020",4,"display","unknown"
"264","Great day out in London at the BM","Amy P","Nov 2020",4,"day","unknown"
"265","Great day out in London at the BM","Amy P","Nov 2020",4,"friends","unknown"
"266","Overcrowded","Sam B","Oct 2020",1,"tantra","unknown"
"267","Overcrowded","Sam B","Oct 2020",1,"exhibition","unknown"
"268","Overcrowded","Sam B","Oct 2020",1,"letting","unknown"
"269","Overcrowded","Sam B","Oct 2020",1,"people","unknown"
"270","Overcrowded","Sam B","Oct 2020",1,"queue","unknown"
"271","Overcrowded","Sam B","Oct 2020",1,"enter","unknown"
"272","Overcrowded","Sam B","Oct 2020",1,"time","unknown"
"273","Overcrowded","Sam B","Oct 2020",1,"slot","unknown"
"274","Overcrowded","Sam B","Oct 2020",1,"inside","unknown"
"275","Overcrowded","Sam B","Oct 2020",1,"super","unknown"
"276","Overcrowded","Sam B","Oct 2020",1,"crowded","unknown"
"277","Overcrowded","Sam B","Oct 2020",1,"packed","unknown"
"278","Overcrowded","Sam B","Oct 2020",1,"youd","unknown"
"279","Overcrowded","Sam B","Oct 2020",1,"middle","unknown"
"280","Overcrowded","Sam B","Oct 2020",1,"pandemic","unknown"
"281","Overcrowded","Sam B","Oct 2020",1,"wasnt","unknown"
"282","Overcrowded","Sam B","Oct 2020",1,"safe","unknown"
"283","Overcrowded","Sam B","Oct 2020",1,"left","unknown"
"284","Overcrowded","Sam B","Oct 2020",1,"impossible","unknown"
"285","Overcrowded","Sam B","Oct 2020",1,"manage","unknown"
"286","Overcrowded","Sam B","Oct 2020",1,"safe","unknown"
"287","Overcrowded","Sam B","Oct 2020",1,"distancing","unknown"
"288","Miserable staff","Roberta N","Oct 2020",2,"unfriendly","unknown"
"289","Miserable staff","Roberta N","Oct 2020",2,"staff","unknown"
"290","Miserable staff","Roberta N","Oct 2020",2,"children","unknown"
"291","Miserable staff","Roberta N","Oct 2020",2,"amused","unknown"
"292","Miserable staff","Roberta N","Oct 2020",2,"half","unknown"
"293","Miserable staff","Roberta N","Oct 2020",2,"term","unknown"
"294","Miserable staff","Roberta N","Oct 2020",2,"week","unknown"
"295","Miserable staff","Roberta N","Oct 2020",2,"lots","unknown"
"296","Miserable staff","Roberta N","Oct 2020",2,"blocked","unknown"
"297","Miserable staff","Roberta N","Oct 2020",2,"including","unknown"
"298","Miserable staff","Roberta N","Oct 2020",2,"toilets","unknown"
"299","Miserable staff","Roberta N","Oct 2020",2,"poor","sadness"
"300","Not everything accessible","DDav","Oct 2020",4,"pre","unknown"
"301","Not everything accessible","DDav","Oct 2020",4,"booked","unknown"
"302","Not everything accessible","DDav","Oct 2020",4,"ticket","unknown"
"303","Not everything accessible","DDav","Oct 2020",4,"online","unknown"
"304","Not everything accessible","DDav","Oct 2020",4,"walked","unknown"
"305","Not everything accessible","DDav","Oct 2020",4,"waiting","unknown"
"306","Not everything accessible","DDav","Oct 2020",4,"usual","unknown"
"307","Not everything accessible","DDav","Oct 2020",4,"scrum","unknown"
"308","Not everything accessible","DDav","Oct 2020",4,"disappointed","unknown"
"309","Not everything accessible","DDav","Oct 2020",4,"amount","unknown"
"310","Not everything accessible","DDav","Oct 2020",4,"galleries","unknown"
"311","Not everything accessible","DDav","Oct 2020",4,"werent","unknown"
"312","Not everything accessible","DDav","Oct 2020",4,"accessible","unknown"
"313","Not everything accessible","DDav","Oct 2020",4,"moment","unknown"
"314","Not everything accessible","DDav","Oct 2020",4,"understand","unknown"
"315","Not everything accessible","DDav","Oct 2020",4,"guidelines","unknown"
"316","Good tour for British history","Charlie","Oct 2020",5,"museum","unknown"
"317","Good tour for British history","Charlie","Oct 2020",5,"british","unknown"
"318","Good tour for British history","Charlie","Oct 2020",5,"history","unknown"
"319","Good tour for British history","Charlie","Oct 2020",5,"nice","unknown"
"320","Good tour for British history","Charlie","Oct 2020",5,"learn","unknown"
"321","Good tour for British history","Charlie","Oct 2020",5,"information","unknown"
"322","Good tour for British history","Charlie","Oct 2020",5,"artifacts","unknown"
"323","Good tour for British history","Charlie","Oct 2020",5,"forward","unknown"
"324","Amazing venue...","Dennis","Oct 2020",4,"egyptian","unknown"
"325","Amazing venue...","Dennis","Oct 2020",4,"spectacular","unknown"
"326","Amazing venue...","Dennis","Oct 2020",4,"laid","unknown"
"327","Amazing venue...","Dennis","Oct 2020",4,"covid","unknown"
"328","Amazing venue...","Dennis","Oct 2020",4,"restrictions","unknown"
"329","Arctic exhibition","HoffDog37","Oct 2020",4,"exhibition","unknown"
"330","Arctic exhibition","HoffDog37","Oct 2020",4,"spectacular","unknown"
"331","Arctic exhibition","HoffDog37","Oct 2020",4,"museums","unknown"
"332","Arctic exhibition","HoffDog37","Oct 2020",4,"special","unknown"
"333","Arctic exhibition","HoffDog37","Oct 2020",4,"exhibitions","unknown"
"334","Arctic exhibition","HoffDog37","Oct 2020",4,"attending","unknown"
"335","Arctic exhibition","HoffDog37","Oct 2020",4,"concerns","unknown"
"336","Arctic exhibition","HoffDog37","Oct 2020",4,"covid","unknown"
"337","Arctic exhibition","HoffDog37","Oct 2020",4,"exhibition","unknown"
"338","Arctic exhibition","HoffDog37","Oct 2020",4,"busier","unknown"
"339","Arctic exhibition","HoffDog37","Oct 2020",4,"expected","unknown"
"340","Arctic exhibition","HoffDog37","Oct 2020",4,"scrums","unknown"
"341","Arctic exhibition","HoffDog37","Oct 2020",4,"people","unknown"
"342","Arctic exhibition","HoffDog37","Oct 2020",4,"displays","unknown"
"343","Small but perfectly formed","Kayleigh B","Oct 2020",4,"visited","unknown"
"344","Small but perfectly formed","Kayleigh B","Oct 2020",4,"daughter","unknown"
"345","Small but perfectly formed","Kayleigh B","Oct 2020",4,"enjoyed","unknown"
"346","Small but perfectly formed","Kayleigh B","Oct 2020",4,"time","unknown"
"347","Small but perfectly formed","Kayleigh B","Oct 2020",4,"organised","unknown"
"348","Small but perfectly formed","Kayleigh B","Oct 2020",4,"bad","sadness"
"349","Small but perfectly formed","Kayleigh B","Oct 2020",4,"eggs","unknown"
"350","Small but perfectly formed","Kayleigh B","Oct 2020",4,"mask","unknown"
"351","Small but perfectly formed","Kayleigh B","Oct 2020",4,"wearing","unknown"
"352","Small but perfectly formed","Kayleigh B","Oct 2020",4,"social","unknown"
"353","Small but perfectly formed","Kayleigh B","Oct 2020",4,"distancing","unknown"
"354","Small but perfectly formed","Kayleigh B","Oct 2020",4,"adhered","unknown"
"355","Small but perfectly formed","Kayleigh B","Oct 2020",4,"it’s","unknown"
"356","Small but perfectly formed","Kayleigh B","Oct 2020",4,"beautiful","unknown"
"357","Small but perfectly formed","Kayleigh B","Oct 2020",4,"building","unknown"
"358","Small but perfectly formed","Kayleigh B","Oct 2020",4,"lot","unknown"
"359","Small but perfectly formed","Kayleigh B","Oct 2020",4,"anticipated","unknown"
"360","Lovely  time out","Xavelhinha A","Oct 2020",5,"stay","unknown"
"361","Lovely  time out","Xavelhinha A","Oct 2020",5,"days","unknown"
"362","Lovely  time out","Xavelhinha A","Oct 2020",5,"queue","unknown"
"363","Lovely  time out","Xavelhinha A","Oct 2020",5,"bit","unknown"
"364","Lovely  time out","Xavelhinha A","Oct 2020",5,"worth","unknown"
"365","Lovely  time out","Xavelhinha A","Oct 2020",5,"free","unknown"
"366","Lovely  time out","Xavelhinha A","Oct 2020",5,"suffer","sadness"
"367","Lovely  time out","Xavelhinha A","Oct 2020",5,"bit","unknown"
"368","A fantastic museum doing its best with Covid","pnhmrk","Oct 2020",3,"british","unknown"
"369","A fantastic museum doing its best with Covid","pnhmrk","Oct 2020",3,"museum","unknown"
"370","A fantastic museum doing its best with Covid","pnhmrk","Oct 2020",3,"top","surprise"
"371","A fantastic museum doing its best with Covid","pnhmrk","Oct 2020",3,"museums","unknown"
